plot_name,no_plant,date,volume
2024_EF1-8_C2-18_ETH4358_S,plant_8,20240517,0.4052054286003113
2024_EF1-8_C2-18_ETH4358_S,plant_9,20240517,0.4065050482749939
2024_EF1-9_VC_ETH4220_S,plant_1,20240517,0.43279993534088135
2024_EF1-9_VC_ETH4220_S,plant_2,20240517,0.4084795117378235
2024_EF1-9_VC_ETH4220_S,plant_3,20240517,0.43530693650245667
2024_EF1-9_VC_ETH4220_S,plant_4,20240517,0.48648035526275635
2024_EF1-9_VC_ETH4220_S,plant_5,20240517,0.43487319350242615
2024_EF1-9_VC_ETH4220_S,plant_6,20240517,0.4301457107067108
2024_EF1-9_VC_ETH4220_S,plant_7,20240517,0.39081382751464844
2024_EF1-9_VC_ETH4220_S,plant_8,20240517,0.3892209529876709
