line	year	accession	stock	plot	sfw	rfw	dmc	tfw	trdm	hi	rs_ratio	row	col	rep	line_num
VC_ETH4243	2022	VC_43	VC	11088	1.01	0.98	35.60747664	1.99	0.348953271	0.492462312	0.97029703	31	23	7	4243
VC_ETH4243	2022	VC_43	VC	12036	2.39	1.87	31	4.26	0.5797	0.438967136	0.782426778	30	24	8	4243
VC_ETH4243	2022	VC_43	VC	13067	3.05	4.09	31.01886792	7.14	1.268671698	0.572829132	1.340983607	53	27	9	4243
VC_ETH4243	2022	VC_43	VC	14081	2.54	2.27	35.4368932	4.81	0.804417476	0.471933472	0.893700787	34	29	10	4243
VC_ETH4243	2023	VC_43	VC	582	2.98	2.682	35.05154639	5.662	0.940082474	0.473684211	0.9	32	1	1	4243
VC_ETH4243	2023	VC_43	VC	589	4.5	4.032	38.80597015	8.532	1.564656716	0.47257384	0.896	39	1	2	4243
VC_ETH4243	2023	VC_43	VC	704	2.28	3.226	37.77777778	5.506	1.218711111	0.585906284	1.414912281	49	4	3	4243
VC_ETH4243	2023	VC_43	VC	751	7.39	2.396	37.25490196	9.786	0.892627451	0.244839567	0.324221922	25	5	4	4243
VC_ETH4243	2023	VC_43	VC	764	6.66	5.998	34.23423423	12.658	2.053369369	0.473850529	0.900600601	38	5	5	4243
VC_ETH4243	2023	VC_43	VC	872	5.35	2.77	36.03603604	8.12	0.998198198	0.341133005	0.517757009	57	8	6	4243
VC_ETH4243	2023	VC_43	VC	911	7.58	4.794	37	12.374	1.77378	0.387425246	0.632453826	18	8	7	4243
VC_ETH4243	2023	VC_43	VC	996	4.86	4.794	39.80582524	9.654	1.908291262	0.496581728	0.986419753	21	10	8	4243
VC_ETH4243	2023	VC_43	VC	1127	6.26	4.09	39.13043478	10.35	1.600434783	0.395169082	0.653354633	49	13	9	4243
VC_ETH4243	2023	VC_43	VC	1200	6.93	5.694	35.23809524	12.624	2.006457143	0.451045627	0.821645022	34	15	10	4243
VC_ETH4243	2023	VC_43	VC	1317	5.18	6.19	35.77235772	11.37	2.214308943	0.544415128	1.194980695	52	18	11	4243
VC_ETH4243	2023	VC_43	VC	1399	3.75	3.866	38.33333333	7.616	1.481966667	0.507615546	1.030933333	57	19	12	4243
VC_ETH4243	2023	VC_43	VC	1439	7.4	5.138	40.19607843	12.538	2.06527451	0.409794226	0.694324324	18	20	13	4243
VC_ETH4243	2023	VC_43	VC	1512	4.72	2.892	33.00970874	7.612	0.954640777	0.379926432	0.612711864	33	22	14	4243
VC_ETH4243	2023	VC_43	VC	1552	3.45	4.05	35.2	7.5	1.4256	0.54	1.173913043	34	23	15	4243
VC_ETH4243	2023	VC_43	VC	1590	4	6.712	39.39393939	10.712	2.644121212	0.626587005	1.678	43	24	16	4243
VC_ETH4243	2023	VC_43	VC	1651	4.54	6.92	32.95454545	11.46	2.280454545	0.603839442	1.524229075	45	25	17	4243
VC_ETH4243	2023	VC_43	VC	1736	6.75	5.656	34.7826087	12.406	1.967304348	0.455908431	0.837925926	42	27	18	4243
VC_ETH4243	2024	VC_43	VC	6075	1.53	2.56	33.05785124	4.09	0.846280992	0.62591687	1.673202614	11	11	1	4243
VC_ETH4243	2024	VC_43	VC	7080	2.23	4.22	37.79527559	6.45	1.59496063	0.654263566	1.892376682	11	12	2	4243
VC_ETH4243	2024	VC_43	VC	8086	1	0.95	38.18181818	1.95	0.362727273	0.487179487	0.95	31	14	3	4243
VC_ETH4243	2024	VC_43	VC	10027	3.09	6.8	37.5	9.89	2.55	0.687563195	2.200647249	14	16	4	4243
VC_ETH4243	2024	VC_43	VC	11056	3.56	5.22	31.91489362	8.78	1.665957447	0.59453303	1.466292135	11	18	5	4243
VC_ETH4243	2024	VC_43	VC	12090	0.96	2.11	34.95934959	3.07	0.737642276	0.687296417	2.197916667	3	20	6	4243
VC_ETH4243	2024	VC_43	VC	13101	1.62	2.59	37.5	4.21	0.97125	0.6152019	1.598765432	18	22	7	4243
VC_ETH4243	2024	VC_43	VC	14005	1.81	3.02	37.69230769	4.83	1.138307692	0.625258799	1.668508287	12	22	8	4243
VC_ETH4243	2024	VC_43	VC	15066	2.23	4.56	40	6.79	1.824	0.671575847	2.044843049	24	25	9	4243
VC_ETH4243	2024	VC_43	VC	16023	2.18	3.5	35.0877193	5.68	1.228070175	0.616197183	1.605504587	46	26	10	4243
VC_ETH4243	2024	VC_43	VC	17016	1.54	1.87	35.9223301	3.41	0.671747573	0.548387097	1.214285714	50	27	11	4243
